აღებაც	აღებ აც
კატეგორიაში	კატეგორი ა ში
ჩვიდმეტი	ჩვიდმეტ ი
წარმოიდგინე	წარმო იდგინ ე
დრუზუსის	დრუზ უს ის
ფერისაა	ფერ ის ა ა
იერს	იერ ს
გაიცემა	გა იცემ ა
განიხილონ	გა ნიხილ ონ
კვიპროსში	კვიპროს ში
დივიზიონის	დივიზიონ ის
პედაგოგიური	პედაგოგ ი ური
ელამელები	ელამ ელ ები
პასუხები	პასუხ ები
ამობურცული	ა მო ბურც ული
ორიდან	ორ იდან
ინციდენტს	ინციდენტ ს
ლიზა	ლიზ ა
ლივერპულმა	ლივერპულ მა
სტიქიურ	სტიქი ურ
ლიგამ	ლიგ ამ
ტიბეტელები	ტიბეტ ელ ები
მითითებები	მი თითებ ები
მუქი	მუქ ი
ჩინეთის	ჩინეთ ის
სირიუს	სირი უს
ღრუბლებიდან	ღრუბლ ები დან
გეგმებზე	გეგმ ებზე
შესაწირი	შე სა წირ ი
შექმნა	შექმნ ა
ბრძანება	ბრძანებ ა
პოზნანის	პოზნ ან ის
ოლიმპიადის	ოლიმპიად ის
შობილი	შობ ილი
დარია	და რ ია
ტყავისაგან	ტყავ ის ა გან
უემბლიზე	უემბლი ზე
ნოდარი	ნოდარ ი
ღირებულებები	ღირებულებ ები
ბუჩქია	ბუჩქ ი ა
