გამოსხივება	გამოსხივ ება
ეკუთვნოდათ	ეკუთვნოდ ათ
ვნახოთ	ვ ნახოთ
კონსერვატიულ	კონსერვატ ი ულ
მიჰყვება	მიჰყვ ება
მიტინგები	მიტინგ ები
არქეოლოგიურად	არქეოლოგიურ ად
ტაძარსა	ტაძარ სა
დეკორის	დეკორ ის
ყვავილოვან	ყვავილოვან
ხალიფამ	ხალიფ ამ
