იტალიასთან	იტალი ასთან
საუკუნეში	საუკუნე ში
გოეთე	გოეთ ე
პილი	პი ლი
თორინის	თორ ინის
შეამკო	შე ამკო
კლიმატის	კლიმატ ის
შესრულებულა	შესრულ ებულა
ცენტრს	ცენტრ ს
ზავმა	ზავ მა
ტუტსის	ტუტ სის
მოერიდა	მოე რიდა
რაოდენობითაა	რაოდენობით აა
